Model,Make
Symphony,SYMPHONY
Symphony OMF-100,OMF
Syncro,FLY SYNTHESIS
T-9 Stiletto,TERZI
T-25 Universal,NEIVA
T-27 Tucano,EMBRAER
T-29,CONVAIR
T-35 Pillán,INDAER CHILE
T-35 Pillán,CASA
T-35 Tamiz,CASA
T-35A Pillán,ENAER
T-35B Pillán,ENAER
T-35C Pillán,ENAER
T-35D Pillán,ENAER
T-35DT Turbo Pillán,ENAER
T-35S Pillán,ENAER
T-35TX Aucán,ENAER
T-45 Goshawk,BRITISH AEROSPACE
T-45 Goshawk,BAE SYSTEMS
T-45 Goshawk,BOEING
T-45 Goshawk,MCDONNELL DOUGLAS
T-66 Nipper,AVIONS FAIREY
T-66 Nipper,SLINGSBY
T-66 Nipper,NIPPER
T-66 Nipper,TIPSY
TAH-1 HueyCobra,BELL
Taifun,TWI
Taifun,VALENTIN
"Taifun Bf-108, MESSERSCHMITT ME08 LTailwind",AJEP
Tailwind,AIRCRAFT SPRUCE
Tailwind,WITTMAN
Tailwind W-8,WITTMAN
Tailwind W-8,AJEP
Tailwind W-9,WITTMAN
Tailwind W-10,WITTMAN
Tailwind W-10,AIRCRAFT SPRUCE
Tamiz,CASA
Tamiz T-35,CASA
TAM-Jet,TAM
Tampico,SOCATA
Tampico TB-9,SOCATA
Tango-2,TEAM TANGO
Tauro,ANAHUAC
Taurus,PIPISTREL
TAV-8 Harrier,HAWKER SIDDELEY
TAV-8 Harrier,MCDONNELL DOUGLAS
TAV-8 Matador,MCDONNELL DOUGLAS
Tazarve,IRIAF
Tazarve JT-2-2,IRIAF
TB-9 Tampico,SOCATA
TB-10 Tobago,SOCATA
TB-20 Pashosh,SOCATA
TB-20 Trinidad,SOCATA
TB-21 Trinidad,SOCATA
TB-200 Tobago,SOCATA
TBF Avenger,GRUMMAN
TBM Avenger,GENERAL MOTORS
Teal,THURSTON
Teal,TEAL
Teal,SCHWEIZER
Teal TSC-1,TEAL
Teal TSC-1,THURSTON
Teal TSC-1,SCHWEIZER
Teenie Two,PARKER
Tejas,ADA
Terrier,FOXCON
Tetras,HUMBERT
Texan,FLY SYNTHESIS
T-Explorer,PRIVATE EXPLORER
TH-1S HueyCobra,BELL
Thruxton Jackaroo,JACKAROO
Tiger,EUROCOPTER
Tiger,AUSTRALIAN AEROSPACE
Tiger Moth,FISHER
Tiger Moth R-80,FISHER
Tiger Moth RS-80,FISHER
Tigercat,GRUMMAN
Tigercat F7F,GRUMMAN
Tigercat G-51,GRUMMAN
Tiger EC-665,EUROCOPTER
Tigre,EUROCOPTER
Tigre EC-665,EUROCOPTER
Tigress,LANCAIR
Tipsy B,BRIAN ALLEN
Tipsy B,AVIONS FAIREY
Tipsy BC,AVIONS FAIREY
Tipsy Belfair,AVIONS FAIREY
"Tipsy Junior, AVIONS FAIREY TIJU LTipsy Trainer",BRIAN ALLEN
Tipsy Trainer,AVIONS FAIREY
TJ-1 Jastreb,SOKO
TJ-21 Jastreb,SOKO
TJ-1500 Leader,MAVERICK
TJ-1500 TwinJet,MAVERICK
Tobago,SOCATA
Tobago TB-10,SOCATA
Tobago TB-200,SOCATA
Tornado,BRITISH AEROSPACE
Tornado,BAC
Tornado,AERITALIA
Tornado,PANAVIA
Tornado,MBB
Tornado SS,TITAN
Toxo,CAG
Tradewind,PACIFIC AIRMOTIVE
Trainer,GOAIR
Trainer,TIPSY
Trainer GT-1,GOAIR
Transition,TERRAFUGIA
T-Raptor,CAPELLA
Trener Baby,PODESVA
Trial,GROPPO
Tri-Motor,FORD
Tri-Motor (A),STINSON
Trinidad,SOCATA
Trinidad TB-20,SOCATA
Trinidad TB-21,SOCATA
Triplane Replica,SOPWITH
Trislander,ANGLO NORMANDY
Trislander,AVIONS FAIREY
Trislander BN-2A Mk3,ANGLO NORMANDY
Trislander BN-2A Mk3,AVIONS FAIREY
TSC-1 Teal,THURSTON
TSC-1 Teal,SCHWEIZER
TSC-1 Teal,TEAL
"Tucano, AOI TUCA LTucano",EMBRAER
Tucano,SHORT
Tucano A-27,EMBRAER
Tucano EMB-312,EMBRAER
Tucano EMB-312,AOI
Tucano EMB-312F,EMBRAER
Tucano S-312,SHORT
Tucano T-27,EMBRAER
Tundra,DREAM
Turbine Legend,LEGEND
Turbine Legend,PERFORMANCE
Turbine Seawind,SEAWIND
Turbine Stallion,AIRCRAFT DESIGNS
Turbo Pillán,ENAER
Turbo Pillán T-35DT,ENAER
Turbo Xtreme,DIAMOND
Turbo Xtreme HK-36,DIAMOND
Tutor,AVRO
Tutor 621,AVRO
Twin Bee,UNITED CONSULTANT
Twin Bee UC-1,UNITED CONSULTANT
Twin Courier,HELIO
Twin Courier H-500,HELIO
Twin Courier U-5,HELIO
Twin E-Z Flyer,BLUE YONDER
Twin Navion,CAMAIR
Twin Navion,RILEY
Twin Navion,TEMCO
Twin Navion 55,RILEY
Twin Navion 480,CAMAIR
Twin Navion D-16,TEMCO
Twin Pioneer,SCOTTISH AVIATION
Twinbee,KARI
TwinJet,MAVERICK
TwinJet TJ-1500,MAVERICK
Twinstar,FARRINGTON
Typhoon,BAE SYSTEMS
Typhoon,ALENIA
Typhoon,DASA
Typhoon,BRITISH AEROSPACE
Typhoon,CASA
Typhoon,EUROFIGHTER
Tzukit,IAI
Tzukit CM-170R,IAI
U-3M Pelikan,UETZ
U-4M Pelikan,UETZ
U-10 Super Courier,HELIO
U-18 Navion,RYAN
U-18 Navion,NORTH AMERICAN
U-19 Ipanema,EMBRAER
UBA,WACO
UBF,WACO
UC-1 Twin Bee,UNITED CONSULTANT
UC-64 Norseman,NOORDUYN
UEC,WACO
UIC,WACO
UKC,WACO
UKS,WACO
"UL-2000 Flamingo, AEROS UL2F LULA",WACO
Ultra Sport,SLIPSTREAM
Ultrabat,AUSTRALITE
Ultrasport 496,AMERICAN SPORTSCOPTER
UMF,WACO
UMF,WACO OHIO
Universal,NEIVA
Universal N-621,NEIVA
Universal N-622,NEIVA
Universal T-25,NEIVA
UPF,WACO
V,CULVER
V-54 Valiant,CONVAIR
V-54 Valiant,VULTEE
V-74 Valiant,VULTEE
V-77 Reliant,STINSON
V-166 Corsair,CHANCE VOUGHT
VA-10 Vantage,VISIONAIRE
Valiant,CONVAIR
Valiant,VULTEE
Valiant BT-13,VULTEE
Valiant BT-13,CONVAIR
Valiant BT-15,VULTEE
Valiant SNV,VULTEE
Valiant V-54,VULTEE
Valiant V-54,CONVAIR
Valiant V-74,VULTEE
Vampire,DE HAVILLAND
Vampire,SADLER
Vampire DH-100,DE HAVILLAND
Vampire DH-115,DE HAVILLAND
Vantage,VISIONAIRE
Vantage VA-10,VISIONAIRE
VariEze,RUTAN
VariEze 33,RUTAN
VariViggen,RUTAN
VariViggen 27,RUTAN
VariViggen 32,RUTAN
Vautour,SUD
Vautour SO-4050,SUD
VC-121 Constellation,LOCKHEED
VC-131G,CONVAIR
Vega Gull,PERCIVAL
Vega Gull K-1,PERCIVAL
Vega Gull P-10,PERCIVAL
Velocity,VELOCITY
Venom,DE HAVILLAND
Venom DH-112,DE HAVILLAND
Venterra,RANS
Venture,QUESTAIR
Venture,NUVENTURE
Venture M-20,QUESTAIR
Viator,PARTENAVIA
Viator,VULCANAIR
Viator,TANEJA
Viator AP-68TP-600,PARTENAVIA
Viator AP-68TP-600,VULCANAIR
Viator AP-68TP-600,TANEJA
Viima,VALTION
Vimy Replica,VICKERS
Vimy Replica FB-27,VICKERS
ViperJet,VIPER
Virus,PIPISTREL
Viscount,VICKERS
Vision,AMERICAN AFFORDABLE
Viva,COMPOSIT AIRPLANES
Vixen,AMAX
VKS,WACO
VM-T Atlant,MYASISHCHEV
VPF,WACO
VT-29,CONVAIR
Vulcan,AVRO
Vulcan 698,AVRO
V-Witt,AIRCRAFT SPRUCE
V-Witt,WITTMAN
W-8 Tailwind,AJEP
W-8 Tailwind,WITTMAN
W-9 Tailwind,WITTMAN
W-10 Tailwind,AIRCRAFT SPRUCE
W-10 Tailwind,WITTMAN
Waco Classic,CLASSIC
Waiex,SONEX
Warning Star,LOCKHEED
Warning Star WV,LOCKHEED
Wasp,AAK
Wasp,WESTLAND
Wee Scotsman,MOONEY
Wee Scotsman M-18,MOONEY
Wega,HK
Wessex,WESTLAND
Wessex WS-58,WESTLAND
WG-13 Battlefield Lynx,WESTLAND
WG-13 Lynx,WESTLAND
WG-13 Super Lynx,WESTLAND
Whisper,GROVE
Whisper,WHISPER
Whisper GR-2,GROVE
White Knight,SCALED
White Knight,RUTAN
White Knight 318,SCALED
White Knight 318,RUTAN
White Lightning,REFLEX
White Lightning,WHITE LIGHTNING
White Lightning WLAC-1,REFLEX
White Lightning WLAC-1,WHITE LIGHTNING
Whitney Straight,MILES
Whitney Straight M-11,MILES
Wichawk,JAVELIN
Wild Thing,ULTRALEICHTBAU
Wildcat,GRUMMAN
Wildcat,GENERAL MOTORS
Wildcat F4F,GRUMMAN
Wildcat FM,GENERAL MOTORS
Wildcat G-36,GRUMMAN
Windex,WINDEXAIR
Windex,RADAB
Windrose,MAUPIN
Windwagon,WATSON
Windwagon GW-1,WATSON
WLAC-1 White Lightning,WHITE LIGHTNING
WLAC-1 White Lightning,REFLEX
Woody Pusher,AEROSPORT
Woody Pusher,WOODS
WS-58 Wessex,WESTLAND
WT-01 Wild Thing,ULTRALEICHTBAU
WT-02 Wild Thing,ULTRALEICHTBAU
WV Warning Star,LOCKHEED
Xcite,XTREMEAIR
Xenon,CELIER
Xenon,ABS AEROLIGHT
Xenos,SONEX
Xiaoying,SHIJIAZHUANG
XP-30 Sbach 300,XTREMEAIR
XP-30 Xtreme 3000,XTREMEAIR
Xtreme,DIAMOND
Xtreme 1000,XTREMEAIR
Xtreme 3000,XTREMEAIR
Xtreme HK-36,DIAMOND
Yale,NORTH AMERICAN
Yale BT-9,NORTH AMERICAN
Yale BT-14,NORTH AMERICAN
Yale NJ,NORTH AMERICAN
Yastreb,SGAU
YKC,WACO
YKS,WACO
YMF,WACO CLASSIC
YMF,WACO OHIO
YMF,WACO
YOC,WACO
YPF,WACO
YPT-16,RYAN
YQC,WACO
Yunona,SHUYA
Z-1 Flitzer,FLITZER
Z-8,CHANGHE
Z-21 Flitzer,FLITZER
Zephyr,ATEC
Zéphyr,POTEZ
Zéphyr CM-175,POTEZ
Zero,MITSUBISHI
Zero A6M,MITSUBISHI
ZGC,WACO
Zia,APPLEBAY
ZIU,TAI
ZKS,WACO
ZPF,WACO
ZQC,WACO
Zùlù,BUL
ZVN,WACO
